epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,184.175,0.8466,0.48307,0.94017,1,0.99823,0.995,0.81695,0.69419,0.40847,0.90977,0.0011684,0.0011684,0.0011684
44,188.293,0.84446,0.50174,0.94169,1,0.99811,0.995,0.80631,0.82154,0.43709,0.93493,0.0011486,0.0011486,0.0011486
45,192.81,0.87822,0.49275,0.93766,0.99438,1,0.995,0.76869,0.74563,0.4212,0.93504,0.0011288,0.0011288,0.0011288
46,197.371,0.82494,0.48013,0.92817,0.99663,1,0.995,0.78462,0.73046,0.41611,0.92191,0.001109,0.001109,0.001109
47,201.942,0.83877,0.4882,0.93237,0.9999,1,0.995,0.79195,0.784,0.41461,0.92469,0.0010892,0.0010892,0.0010892
48,206.114,0.80277,0.48784,0.9174,1,0.9987,0.995,0.81168,0.65745,0.38837,0.88475,0.0010694,0.0010694,0.0010694
49,210.257,0.83533,0.48566,0.94229,0.99672,1,0.995,0.78297,0.78872,0.42983,0.92647,0.0010496,0.0010496,0.0010496
50,214.517,0.80649,0.47787,0.91821,0.99989,1,0.995,0.82251,0.66635,0.39719,0.89595,0.0010298,0.0010298,0.0010298
51,218.524,0.79864,0.47274,0.91675,0.99975,1,0.995,0.79325,0.75133,0.38333,0.91581,0.00101,0.00101,0.00101
52,222.603,0.80201,0.48047,0.92146,1,0.99746,0.995,0.81375,0.6987,0.37487,0.8955,0.0009902,0.0009902,0.0009902
53,226.639,0.82878,0.46384,0.9361,1,0.99701,0.995,0.77024,0.87251,0.4094,0.94507,0.0009704,0.0009704,0.0009704
54,230.767,0.77515,0.44758,0.90565,1,0.99761,0.995,0.77911,0.84105,0.41134,0.92898,0.0009506,0.0009506,0.0009506
55,234.819,0.74055,0.44432,0.89832,0.99949,1,0.995,0.79537,0.74514,0.38077,0.90707,0.0009308,0.0009308,0.0009308
56,238.884,0.74967,0.45165,0.89706,1,0.99642,0.995,0.77138,0.78259,0.39439,0.93223,0.000911,0.000911,0.000911
57,242.846,0.76821,0.44618,0.92662,0.99927,0.98529,0.99486,0.79702,0.69166,0.36264,0.90162,0.0008912,0.0008912,0.0008912
58,246.73,0.77444,0.44453,0.91315,1,0.98442,0.99486,0.82599,0.6705,0.3784,0.88794,0.0008714,0.0008714,0.0008714
59,250.694,0.75041,0.44536,0.91062,1,0.99771,0.995,0.79536,0.77046,0.35724,0.92846,0.0008516,0.0008516,0.0008516
60,254.81,0.7654,0.43728,0.88733,0.99838,1,0.995,0.82207,0.66494,0.36275,0.89152,0.0008318,0.0008318,0.0008318
61,258.718,0.77658,0.43122,0.90402,0.99813,1,0.995,0.78428,0.74537,0.37402,0.90952,0.000812,0.000812,0.000812
62,262.821,0.71346,0.42073,0.9016,0.99708,1,0.995,0.80133,0.73182,0.35689,0.91533,0.0007922,0.0007922,0.0007922
63,266.84,0.72144,0.41936,0.89097,1,0.99968,0.995,0.80768,0.7142,0.36312,0.91208,0.0007724,0.0007724,0.0007724
64,270.971,0.73089,0.4256,0.88831,0.9973,1,0.995,0.82893,0.61365,0.35143,0.89159,0.0007526,0.0007526,0.0007526
65,274.902,0.73142,0.42717,0.91215,0.99943,1,0.995,0.8053,0.6687,0.3516,0.89373,0.0007328,0.0007328,0.0007328
66,278.824,0.7258,0.44634,0.8955,1,0.99945,0.995,0.82144,0.69558,0.37315,0.90437,0.000713,0.000713,0.000713
67,282.762,0.73746,0.42862,0.88849,1,0.99934,0.995,0.82636,0.65193,0.35414,0.89031,0.0006932,0.0006932,0.0006932
68,286.743,0.68798,0.40285,0.89234,1,0.99985,0.995,0.81358,0.71876,0.37218,0.90779,0.0006734,0.0006734,0.0006734
69,290.981,0.71426,0.41702,0.89923,0.99884,1,0.995,0.82986,0.75507,0.36714,0.91031,0.0006536,0.0006536,0.0006536
70,294.932,0.67649,0.40501,0.88509,1,0.99861,0.995,0.82159,0.7147,0.35053,0.90833,0.0006338,0.0006338,0.0006338
71,298.92,0.6756,0.41524,0.90755,0.99786,1,0.995,0.86131,0.55181,0.32945,0.87073,0.000614,0.000614,0.000614
72,303.065,0.69563,0.40971,0.88335,1,0.99807,0.995,0.82427,0.62076,0.35066,0.88357,0.0005942,0.0005942,0.0005942
73,307.045,0.71761,0.40168,0.90109,1,0.99806,0.995,0.82397,0.68282,0.33964,0.88236,0.0005744,0.0005744,0.0005744
74,310.976,0.67256,0.39733,0.86955,1,0.99839,0.995,0.82468,0.69181,0.34836,0.88617,0.0005546,0.0005546,0.0005546
75,314.884,0.66174,0.38348,0.86491,1,0.9983,0.995,0.84103,0.6521,0.33446,0.87823,0.0005348,0.0005348,0.0005348
76,319.038,0.66278,0.38607,0.8775,1,0.99893,0.995,0.81098,0.72017,0.34549,0.9101,0.000515,0.000515,0.000515
77,323.121,0.63047,0.37316,0.8687,0.9988,1,0.995,0.84184,0.63528,0.3408,0.87129,0.0004952,0.0004952,0.0004952
78,327.099,0.65611,0.3931,0.88199,0.99916,1,0.995,0.81161,0.6661,0.33147,0.89899,0.0004754,0.0004754,0.0004754
